chr	pos	category	avg_delrate_BS	avg_delrate_input	delta_delrate	p.adjust_diff	equivalence_status	site_specific_eqbound
TRAF7_chr16_2171583	65	Modified	0.16416166106568567	0.0034002855399352934	0.16076137552575037	1.785207475545387e-35	Not equivalent	2.8054295662209583
RECQL_chr12_21501357	66	Modified	0.16981349388313702	0.009874965264814543	0.15993852861832247	9.326970737466208e-79	Not equivalent	1.8540740330807695
7SK.RN7SK_chr6_52995869	65	Modified	0.1630029743396917	0.006201358053209907	0.1568016162864818	1.1715500466617706e-20	Not equivalent	2.255794384621047
TF_chr3_133765202	66	Modified	0.17028399191667834	0.015288126138950746	0.1549958657777276	7.431796591229797e-25	Not equivalent	1.5038444854873303
MDM2_chr12_68840038	66	Modified	0.15651388065181165	0.007080992509363297	0.14943288814244834	1.632571395689986e-7	Not equivalent	2.138725804132447
SPTBN1_chr2_54668702	66	Modified	0.1439085144927535	0	0.1439085144927535	6.255425102011934e-4	Equivalent	17.778826856779972
SYNCRIP_chr6_85611818	62	Modified	0.333245539392466	0.19429604024802666	0.13894949914443933	0.0025073985364554964	Not equivalent	0.2930644605558932
ENSA_chr1_150622412	66	Modified	0.155729608485988	0.0190890604383133	0.1366405480476747	4.062921109984256e-11	Not equivalent	1.3385990426969028
RBM39_chr20_35739636	64	Modified	0.158784613411036	0.0231213685964374	0.1356632448145986	9.83375377401406e-14	Not equivalent	1.2039031944514123
SON_chr21_33552950	63	Modified	0.16615864527629234	0.0305724642198898	0.13558618105640255	4.19627449043558e-17	Not equivalent	1.0220117097370882
SOX5_chr12_23640275	66	Modified	0.135965576418332	0.0040753277629276795	0.13189024865540433	9.840662380912427e-14	Not equivalent	2.636935543222953
EIF4A2_chr3_186788974	66	Modified	0.15586550934673968	0.026213757843150835	0.12965175150358885	4.0632105382072135e-12	Not equivalent	1.119968724485945
GCFC2_chr2_75672011	66	Modified	0.13724334413989567	0.008885464817668214	0.12835787932222745	1.9127335748226536e-6	Not equivalent	1.9429427621808317
