chr	pos	category	avg_delrate_BS	avg_delrate_input	delta_delrate	p.adjust_diff	equivalence_status	site_specific_eqbound
STEEP1_chrX_119538849	66	Modified	0.640275474565288	0.006645650978023697	0.6336298235872643	7.161337301702524e-39	Not equivalent	2.19449802954883
SPTAN1_chr9_128575245	65	Modified	0.6309731934731934	0	0.6309731934731934	5.488619912501976e-15	Equivalent	17.778826856779972
ZFTA_chr11_63762387	66	Modified	0.64074188821479094	0.015482069140857067	0.6252598190739339	1.0167673128833647e-148	Not equivalent	1.494215123644684
DUXAP9_chr14_19106902	65	Modified	0.626490372887233	0.00694190845363215	0.6195484644336008	4.84313226212685e-58	Not equivalent	2.1561161479174666
HEXA_chr15_72344047	66	Modified	0.6228886563035874	0.00536880322562037	0.617519853077967	4.529730093751007e-113	Not equivalent	2.3849887243856713
PMS2_chr7_5971345	66	Modified	0.6286318035986324	0.012903714084919493	0.6157280895137128	1.5723318454466575e-77	Not equivalent	1.636071577983751
C2orf42.TIA1_chr2_70225191	66	Modified	0.630999576515488	0.017571427402260465	0.6134281491132275	3.0753714972644426e-38	Not equivalent	1.3991461729756431
GPC3_chrX_133939500	66	Modified	0.6102437559007813	0.0023259974950796203	0.6079177584057016	1.056234055816745e-81	Not equivalent	3.1647603626795093
RALGAPA1_chr14_35719491	66	Modified	0.6141488779419814	0.007506312996038511	0.6066425649459428	8.708713752409284e-43	Not equivalent	2.0878417644022482
MT-TI_chrMT_4286	65	Modified	0.6158982111363067	0.009893285511660067	0.6060049256246467	1.3355308760222147e-41	Not equivalent	1.8525274428420846
USF2_chr19_35279516	65	Modified	0.6390781607963717	0.033781991735595734	0.605296169060776	4.925585142270796e-225	Not equivalent	0.961425370557401
PAH_chr12_102852230	66	Modified	0.622688673025804	0.017446789732816534	0.6052418832929874	7.629834841008506e-99	Not equivalent	1.404411612964965
CDK13_chr7_39987695	66	Modified	0.611102921848666	0.013757165190203233	0.5973457566584628	2.4288373199897926e-49	Not equivalent	1.5855495050564832
FKBP1B_chr2_24063441	65	Modified	0.60620644565227	0.012125933142182866	0.5940805125100871	1.3940490001476675e-125	Not equivalent	1.6857566546765765
SRRM2_chr16_2765682	66	Modified	0.6549542376326043	0.06353239728081433	0.5914218403517899	1.9131024787256725e-180	Not equivalent	0.6354086131917054
FXR1_chr3_180976795	65	Modified	0.6023201307076533	0.013299720283007766	0.5890204104246456	1.1243097753072183e-46	Not equivalent	1.6121408730925917
USP48_chr1_21728564	66	Modified	0.6063650021542413	0.0177556849813778	0.5886093171728635	1.717211408728331e-58	Not equivalent	1.3914477719180391
SMOC1_chr14_70032218	65	Modified	0.5947914258608686	0.007423582900546043	0.5873678429603226	3.735168818836018e-102	Not equivalent	2.097480268516596
